,PPG,Avg_2PA,Avg_3PA,Avg_FTA,3PT_Percentage,True_Shooting_Percentage_Season,Effective_FG_Percentage_Season,TEAM_PPG,TEAM_AVG_PACE,OPP_2PA_AVG,OPP_2P%,OPP_3PA_AVG,OPP_3P%,OPP_FTA_AVG,BestGuardScoringAvg,StephScoringAVGvsOPP,PTS
526,24.419354838709676,7.483870967741935,9.516129032258064,5.064516129032258,0.4,0.6291817312887005,0.5787476280834914,117.45161290322581,101.06612903225808,19.321428571428573,0.5064695009242144,12.214285714285714,0.3508771929824561,6.821428571428571,19.642857142857142,22.272727272727273,15
527,24.125,7.375,9.4375,5.09375,0.3973509933774834,0.6272088394199131,0.5762081784386617,117.15625,101.0796875,16.533333333333335,0.46975806451612906,11.4,0.3684210526315789,8.166666666666666,19.866666666666667,30.384615384615383,28
528,24.242424242424242,7.515151515151516,9.333333333333334,5.151515151515151,0.39935064935064934,0.6281900274833137,0.5764388489208633,117.27272727272727,101.03181818181818,17.060606060606062,0.47602131438721135,11.303030303030303,0.39946380697050937,8.121212121212121,19.939393939393938,21.26086956521739,14
529,23.941176470588236,7.470588235294118,9.235294117647058,5.029411764705882,0.4012738853503185,0.6269013054025954,0.5757042253521126,117.0,100.88382352941177,24.242424242424242,0.4725,11.303030303030303,0.3806970509383378,8.878787878787879,22.21212121212121,21.318181818181817,22
530,23.885714285714286,7.514285714285714,9.228571428571428,4.9714285714285715,0.3993808049535604,0.6251402078815524,0.5742320819112628,117.28571428571429,101.0157142857143,21.916666666666668,0.4435994930291508,12.416666666666666,0.3333333333333333,10.11111111111111,20.583333333333332,26.56,35
531,24.194444444444443,7.638888888888889,9.333333333333334,5.055555555555555,0.39880952380952384,0.6244175209692451,0.574468085106383,117.5,101.09861111111111,17.657894736842106,0.45007451564828616,12.210526315789474,0.3771551724137931,10.026315789473685,19.44736842105263,23.043478260869566,40
532,24.62162162162162,7.8108108108108105,9.432432432432432,5.054054054054054,0.3982808022922636,0.6266983111478003,0.5775862068965517,117.54054054054055,101.03432432432433,17.083333333333332,0.47317073170731705,13.222222222222221,0.38235294117647056,9.027777777777779,18.583333333333332,19.88,30
533,24.763157894736842,7.894736842105263,9.473684210526315,5.0,0.4,0.6271242919026991,0.5787878787878787,117.52631578947368,101.05973684210527,22.384615384615383,0.42955326460481097,9.974358974358974,0.35989717223650386,8.615384615384615,20.153846153846153,26.1,24
534,24.743589743589745,7.948717948717949,9.512820512820513,5.0,0.39892183288409705,0.6236871869445791,0.5756240822320118,117.25641025641026,101.08384615384615,20.55,0.4768856447688564,10.675,0.3629976580796253,8.225,19.075,21.846153846153847,24
535,24.725,7.95,9.5,4.95,0.3973684210526316,0.6243292721419103,0.576647564469914,117.5,101.21925,18.923076923076923,0.505420054200542,11.871794871794872,0.35205183585313177,6.82051282051282,19.82051282051282,21.666666666666668,20
